Location,Count,Latitude,Longitude,Province
"Edmonton, AB, Canada",80,53.5344445,-113.4902778,Alberta
"Calmar, AB, Canada",40,53.2577778,-113.8108333,Alberta
"Leduc, AB, Canada",27,53.2666666,-113.5458333,Alberta
"Devon, AB, Canada",24,53.3622223,-113.7225,Alberta
"Calgary, AB, Canada",12,51.0458333,-114.0574999,Alberta
"Wetaskiwin, AB, Canada",4,52.9691667,-113.3769444,Alberta
"Spruce Grove, AB, Canada",4,53.5538889,-113.9022222,Alberta
"Burnaby, BC, Canada",3,49.242778,-122.972778,British Columbia
"Vancouver, BC, Canada",2,49.261111,-123.113889,British Columbia
"Grande Prairie, AB, Canada",2,55.1708334,-118.7961111,Alberta
"Fort Saskatchewan, AB, Canada",2,53.7111111,-113.2177778,Alberta
"Drayton Valley, AB, Canada",2,53.2241667,-114.9808333,Alberta
"Beaumont, AB, Canada",2,53.3525,-113.4152778,Alberta
"Winnipeg, MB, Canada",1,49.884444,-97.146389,Manitoba
"Whitecourt, AB, Canada",1,54.1411111,-115.6841667,Alberta
"Victoria, BC, Canada",1,48.428333,-123.364722,British Columbia
"Toronto, ON, Canada",1,43.7417,-79.3733,Ontario
"Sylvan Lake, AB, Canada",1,52.3088888,-114.0977778,Alberta
"Rocky Mountain House, AB, Canada",1,52.3747222,-114.9219444,Alberta
"Red Deer, AB, Canada",1,52.2686111,-113.8102778,Alberta
"Prince George, BC, Canada",1,53.913056,-122.745278,British Columbia
"Nanaimo, BC, Canada",1,49.163889,-123.938056,British Columbia
"Mississauga, ON, Canada",1,43.58566,-79.65711,Ontario
"Lacombe, AB, Canada",1,52.464444,-113.734167,Alberta
"Kelowna, BC, Canada",1,49.888056,-119.495556,British Columbia
"Gibsons, BC, Canada",1,49.400278,-123.508889,British Columbia
"Bon Accord, AB, Canada",1,53.8369444,-113.4122222,Alberta
